Job ID,Machine Requirement,Machine Types Allowed,Machine Type Sequence,Operation Time
C01,20,"['English', 'History']","['English', 'English', 'History', 'English', 'English']","[4, 4, 4, 4, 4]"
C02,25,"['History', 'English', 'Art', 'Math']","['History', 'English', 'Art', 'History', 'Math']","[5, 5, 5, 5, 5]"
C03,20,['History'],"['History', 'History', 'History', 'History', 'History']","[4, 4, 4, 4, 4]"
C04,35,"['English', 'Science', 'Math', 'Art']","['English', 'Science', 'Math', 'Art', 'English']","[7, 7, 7, 7, 7]"
C05,20,"['Art', 'English', 'Math', 'Science']","['Art', 'English', 'Math', 'English', 'Science']","[4, 4, 4, 4, 4]"
C06,20,"['Math', 'History', 'Science']","['Math', 'Math', 'History', 'Math', 'Science']","[4, 4, 4, 4, 4]"
C07,20,"['Art', 'English', 'Math']","['Art', 'Art', 'English', 'Math', 'English']","[4, 4, 4, 4, 4]"
C08,20,"['Math', 'Science']","['Math', 'Science', 'Math', 'Science', 'Science']","[4, 4, 4, 4, 4]"
C09,50,"['Science', 'Math', 'Art']","['Science', 'Math', 'Math', 'Art', 'Art']","[10, 10, 10, 10, 10]"
C10,20,"['Math', 'History', 'English']","['Math', 'History', 'History', 'Math', 'English']","[4, 4, 4, 4, 4]"
