Job ID,Machine Requirement,Machine Types Allowed,Machine Type Sequence,Operation Time
J01,5,"['Drilling', 'Lathe']","['Drilling', 'Drilling', 'Lathe', 'Drilling', 'Lathe']","[53, 46, 55, 96, 17]"
J02,7,"['Drilling', 'Milling', 'Lathe']","['Drilling', 'Drilling', 'Milling', 'Lathe', 'Drilling']","[95, 19, 72, 11, 17]"
J03,9,"['Lathe', 'Milling']","['Lathe', 'Milling', 'Lathe', 'Lathe', 'Lathe']","[36, 89, 49, 43, 98]"
J04,7,"['Milling', 'Lathe', 'Drilling', 'Grinding']","['Milling', 'Lathe', 'Milling', 'Drilling', 'Grinding']","[90, 23, 25, 52, 11]"
J05,4,"['Shaping', 'Drilling', 'Milling']","['Shaping', 'Drilling', 'Shaping', 'Milling', 'Drilling']","[57, 47, 72, 22, 57]"
J06,5,"['Milling', 'Drilling']","['Milling', 'Milling', 'Drilling', 'Milling', 'Milling']","[18, 44, 30, 36, 14]"
J07,8,"['Lathe', 'Shaping', 'Drilling']","['Lathe', 'Shaping', 'Lathe', 'Drilling', 'Lathe']","[35, 58, 82, 52, 38]"
J08,5,"['Lathe', 'Milling', 'Shaping']","['Lathe', 'Milling', 'Shaping', 'Lathe', 'Shaping']","[83, 34, 81, 93, 31]"
J09,10,"['Drilling', 'Milling', 'Lathe']","['Drilling', 'Milling', 'Lathe', 'Milling', 'Lathe']","[48, 27, 84, 37, 17]"
J10,4,"['Grinding', 'Shaping']","['Grinding', 'Grinding', 'Grinding', 'Grinding', 'Shaping']","[93, 70, 66, 56, 40]"
J11,4,['Lathe'],"['Lathe', 'Lathe', 'Lathe', 'Lathe', 'Lathe']","[98, 91, 97, 88, 62]"
J12,5,"['Drilling', 'Milling']","['Drilling', 'Milling', 'Drilling', 'Drilling', 'Milling']","[79, 33, 81, 58, 28]"
J13,6,"['Shaping', 'Drilling']","['Shaping', 'Shaping', 'Shaping', 'Shaping', 'Drilling']","[59, 70, 88, 85, 66]"
J14,8,"['Milling', 'Grinding', 'Drilling']","['Milling', 'Grinding', 'Grinding', 'Grinding', 'Drilling']","[93, 73, 24, 90, 38]"
J15,9,"['Drilling', 'Milling', 'Grinding']","['Drilling', 'Milling', 'Grinding', 'Grinding', 'Grinding']","[17, 54, 76, 63, 11]"
J16,5,"['Grinding', 'Drilling', 'Lathe']","['Grinding', 'Drilling', 'Grinding', 'Lathe', 'Grinding']","[63, 63, 57, 74, 56]"
J17,4,"['Grinding', 'Lathe', 'Shaping']","['Grinding', 'Grinding', 'Grinding', 'Lathe', 'Shaping']","[85, 11, 32, 95, 71]"
J18,6,"['Milling', 'Shaping', 'Lathe']","['Milling', 'Shaping', 'Milling', 'Lathe', 'Milling']","[89, 95, 13, 75, 72]"
J19,5,"['Grinding', 'Drilling', 'Shaping']","['Grinding', 'Drilling', 'Grinding', 'Shaping', 'Shaping']","[25, 11, 19, 63, 20]"
J20,5,"['Milling', 'Lathe', 'Drilling']","['Milling', 'Lathe', 'Milling', 'Milling', 'Drilling']","[44, 89, 31, 45, 26]"
