Job ID,Machine Requirement,Machine Types Allowed,Machine Type Sequence,Operation Time
J01,5,"['Drilling', 'Lathe', 'Milling']","['Drilling', 'Lathe', 'Drilling', 'Milling', 'Milling']","[43, 82, 89, 31, 27]"
J02,4,"['Lathe', 'Drilling', 'Grinding']","['Lathe', 'Drilling', 'Drilling', 'Grinding', 'Drilling']","[94, 35, 97, 100, 68]"
J03,6,"['Lathe', 'Milling', 'Drilling']","['Lathe', 'Lathe', 'Milling', 'Milling', 'Drilling']","[48, 54, 36, 70, 71]"
J04,4,"['Shaping', 'Lathe', 'Milling']","['Shaping', 'Lathe', 'Shaping', 'Shaping', 'Milling']","[86, 82, 43, 76, 70]"
J05,4,"['Grinding', 'Milling', 'Drilling']","['Grinding', 'Milling', 'Drilling', 'Drilling', 'Grinding']","[27, 52, 65, 84, 67]"
J06,5,"['Grinding', 'Drilling']","['Grinding', 'Drilling', 'Drilling', 'Grinding', 'Grinding']","[46, 39, 92, 98, 50]"
J07,6,"['Lathe', 'Grinding', 'Milling', 'Shaping']","['Lathe', 'Grinding', 'Milling', 'Milling', 'Shaping']","[98, 20, 60, 54, 82]"
J08,6,"['Shaping', 'Drilling']","['Shaping', 'Shaping', 'Drilling', 'Drilling', 'Shaping']","[36, 10, 37, 93, 87]"
J09,7,"['Grinding', 'Lathe', 'Drilling', 'Milling']","['Grinding', 'Lathe', 'Drilling', 'Milling', 'Lathe']","[38, 52, 58, 17, 10]"
J10,3,"['Grinding', 'Milling']","['Grinding', 'Milling', 'Grinding', 'Grinding', 'Grinding']","[66, 87, 22, 75, 24]"
J11,7,"['Grinding', 'Milling', 'Lathe']","['Grinding', 'Milling', 'Lathe', 'Lathe', 'Lathe']","[13, 46, 61, 91, 75]"
J12,3,"['Milling', 'Lathe', 'Shaping']","['Milling', 'Lathe', 'Lathe', 'Shaping', 'Shaping']","[89, 61, 22, 53, 48]"
J13,6,['Drilling'],"['Drilling', 'Drilling', 'Drilling', 'Drilling', 'Drilling']","[35, 74, 66, 22, 25]"
J14,4,"['Shaping', 'Lathe']","['Shaping', 'Shaping', 'Shaping', 'Shaping', 'Lathe']","[72, 26, 78, 93, 38]"
J15,5,"['Milling', 'Lathe', 'Grinding']","['Milling', 'Lathe', 'Grinding', 'Grinding', 'Grinding']","[47, 75, 98, 60, 95]"
