Machine ID,Machine Type,Operational Time,Maintenance Time,Cool Down Time
M001,Drilling,20,7,16
M002,Milling,20,19,19
M003,Shaping,16,15,15
M004,Shaping,11,12,27
M005,Shaping,18,12,11
M006,Lathe,30,8,13
M007,Lathe,17,16,26
M008,Grinding,16,12,15
M009,Shaping,19,6,12
M010,Milling,17,17,30
M011,Drilling,12,13,14
M012,Lathe,24,19,18
M013,Drilling,22,20,20
M014,Shaping,20,15,14
M015,Lathe,18,10,20
M016,Lathe,13,18,21
M017,Shaping,17,13,22
M018,Grinding,16,9,10
M019,Grinding,16,6,22
M020,Drilling,30,7,16
M021,Shaping,30,7,29
M022,Drilling,15,5,29
M023,Milling,29,8,21
M024,Shaping,13,17,10
M025,Shaping,26,13,30
M026,Drilling,26,9,27
M027,Grinding,20,6,28
M028,Drilling,30,11,28
M029,Shaping,18,10,19
M030,Lathe,14,10,21
M031,Milling,20,7,16
M032,Grinding,13,16,17
M033,Milling,18,15,24
M034,Grinding,16,9,15
M035,Shaping,27,9,15
M036,Lathe,22,12,30
M037,Shaping,16,6,28
M038,Lathe,24,16,28
M039,Drilling,13,6,10
M040,Shaping,10,12,15
M041,Shaping,23,8,27
M042,Shaping,21,7,28
M043,Drilling,28,14,12
M044,Milling,21,19,23
M045,Milling,30,20,30
M046,Drilling,22,13,22
M047,Drilling,23,12,11
M048,Drilling,24,8,18
M049,Shaping,21,6,15
M050,Lathe,13,11,11
M051,Milling,10,20,25
M052,Grinding,18,20,28
M053,Drilling,12,6,10
M054,Lathe,10,15,26
M055,Grinding,30,12,14
M056,Milling,28,5,22
M057,Grinding,18,19,17
M058,Shaping,20,5,18
M059,Lathe,18,15,16
M060,Milling,29,7,20
M061,Shaping,20,10,25
M062,Grinding,10,20,20
M063,Shaping,12,11,25
M064,Grinding,11,13,26
M065,Grinding,16,18,17
M066,Grinding,30,5,29
M067,Grinding,28,8,22
M068,Drilling,25,20,15
M069,Shaping,25,20,11
M070,Lathe,11,6,25
M071,Drilling,20,17,19
M072,Milling,13,20,29
M073,Lathe,14,10,12
M074,Drilling,29,9,28
M075,Grinding,18,9,29
M076,Shaping,18,5,25
M077,Milling,16,19,27
M078,Milling,21,18,26
M079,Milling,10,6,27
M080,Shaping,11,17,19
M081,Milling,17,10,17
M082,Drilling,16,9,23
M083,Lathe,18,12,29
M084,Grinding,27,11,21
M085,Grinding,14,5,29
M086,Grinding,14,19,13
M087,Milling,29,14,13
M088,Drilling,18,15,23
M089,Shaping,23,15,16
M090,Milling,10,15,21
M091,Shaping,14,7,19
M092,Milling,14,8,20
M093,Shaping,27,10,20
M094,Grinding,11,12,21
M095,Drilling,15,17,24
M096,Drilling,18,5,24
M097,Lathe,12,18,14
M098,Grinding,14,8,14
M099,Grinding,11,13,15
M100,Grinding,30,15,17
M101,Lathe,12,6,12
M102,Grinding,22,16,11
M103,Grinding,24,5,23
M104,Lathe,28,8,23
M105,Drilling,19,8,24
M106,Milling,10,7,13
M107,Grinding,13,18,22
M108,Shaping,21,10,19
M109,Shaping,22,11,29
M110,Shaping,22,11,24
M111,Lathe,10,19,25
M112,Milling,21,11,16
M113,Grinding,30,16,20
M114,Drilling,19,15,15
M115,Milling,12,16,15
M116,Lathe,19,15,28
M117,Milling,21,12,25
M118,Milling,25,20,28
M119,Grinding,29,5,17
M120,Shaping,29,14,30
M121,Milling,12,13,30
M122,Shaping,22,6,12
M123,Shaping,12,7,20
M124,Milling,25,19,17
M125,Drilling,27,20,29
M126,Milling,19,19,13
M127,Grinding,15,16,30
M128,Shaping,14,17,17
M129,Milling,26,8,26
M130,Shaping,18,7,26
M131,Milling,23,19,18
M132,Lathe,15,11,19
M133,Grinding,23,17,18
M134,Milling,30,9,25
M135,Shaping,29,9,23
M136,Grinding,29,17,27
M137,Lathe,25,17,22
M138,Milling,12,19,19
M139,Milling,11,13,15
M140,Lathe,14,18,12
M141,Milling,11,7,20
M142,Shaping,27,16,29
M143,Grinding,25,20,22
M144,Lathe,27,6,23
M145,Grinding,26,8,25
M146,Grinding,18,8,24
M147,Drilling,16,15,23
M148,Grinding,22,11,11
M149,Drilling,19,9,14
M150,Shaping,30,18,18
M151,Lathe,13,18,10
M152,Milling,29,5,10
M153,Grinding,14,5,25
M154,Grinding,11,7,27
M155,Lathe,21,14,27
M156,Lathe,17,18,27
M157,Grinding,28,16,11
M158,Drilling,18,7,22
M159,Lathe,11,6,13
M160,Lathe,28,12,19
M161,Lathe,19,5,30
M162,Shaping,22,15,16
M163,Lathe,13,12,25
M164,Grinding,21,13,12
M165,Shaping,23,7,14
M166,Grinding,24,5,19
M167,Shaping,16,16,23
M168,Milling,16,17,30
M169,Grinding,12,10,11
M170,Lathe,29,20,16
M171,Grinding,24,13,25
M172,Milling,19,11,30
M173,Lathe,24,13,19
M174,Drilling,29,13,23
M175,Milling,28,20,25
M176,Shaping,10,9,10
M177,Shaping,17,13,13
M178,Milling,16,15,28
M179,Drilling,15,9,23
M180,Grinding,13,9,15
M181,Shaping,16,13,25
M182,Grinding,23,18,18
M183,Milling,12,16,16
M184,Milling,12,15,13
M185,Shaping,26,10,16
M186,Grinding,22,14,15
M187,Lathe,22,19,21
M188,Lathe,29,16,21
M189,Milling,24,16,10
M190,Lathe,13,17,19
M191,Drilling,13,10,24
M192,Shaping,23,10,25
M193,Drilling,23,7,12
M194,Drilling,16,20,20
M195,Milling,27,8,18
M196,Grinding,15,14,10
M197,Grinding,10,19,23
M198,Drilling,10,7,19
M199,Shaping,30,20,19
M200,Drilling,20,6,15
