Machine ID,Machine Type,Operational Time,Maintenance Time,Cool Down Time
R001,Decoration,27,11,6
R002,Seating Arrangement,30,10,6
R003,Catering Service,21,18,9
R004,Catering Service,37,19,14
R005,AV Equipment,50,12,10
R006,Conference Room,41,9,12
R007,Decoration,36,20,9
R008,Catering Service,35,10,14
R009,Decoration,37,8,15
R010,Conference Room,20,17,6
R011,Conference Room,22,8,8
R012,Catering Service,31,18,11
R013,Catering Service,34,16,15
R014,Decoration,30,20,15
R015,Seating Arrangement,23,8,5
R016,Catering Service,33,14,14
R017,Decoration,44,8,12
R018,Conference Room,42,8,15
R019,Conference Room,33,7,11
R020,Decoration,32,12,9
R021,Catering Service,47,19,14
R022,Conference Room,34,19,10
R023,Conference Room,24,5,14
R024,AV Equipment,45,10,6
R025,Decoration,42,15,8
R026,Catering Service,38,8,12
R027,Catering Service,46,10,15
R028,Seating Arrangement,38,13,13
R029,Seating Arrangement,32,16,7
R030,AV Equipment,45,16,7
R031,AV Equipment,25,17,11
R032,AV Equipment,40,6,6
R033,Seating Arrangement,23,6,15
R034,Decoration,45,9,14
R035,Catering Service,25,11,9
R036,Conference Room,46,11,14
R037,Seating Arrangement,47,7,15
R038,Catering Service,44,10,5
R039,AV Equipment,47,18,15
R040,AV Equipment,20,18,11
R041,Decoration,31,9,10
R042,Seating Arrangement,35,16,9
R043,Seating Arrangement,48,14,11
R044,AV Equipment,38,13,7
R045,Catering Service,46,9,15
R046,AV Equipment,46,6,7
R047,Seating Arrangement,21,13,5
R048,AV Equipment,22,5,11
R049,Decoration,50,5,11
R050,Decoration,20,7,9
R051,Conference Room,49,17,8
R052,Seating Arrangement,36,17,15
R053,Catering Service,27,9,10
R054,AV Equipment,34,15,11
R055,AV Equipment,47,18,5
R056,Decoration,27,11,5
R057,Catering Service,40,10,5
R058,Catering Service,36,12,7
R059,Conference Room,33,6,7
R060,Seating Arrangement,24,16,11
R061,AV Equipment,21,8,5
R062,Decoration,27,11,6
R063,Catering Service,27,20,8
R064,Conference Room,30,16,10
R065,Catering Service,27,9,7
R066,Decoration,32,11,12
R067,Conference Room,20,10,8
R068,Decoration,25,12,6
R069,Seating Arrangement,24,19,15
R070,Seating Arrangement,20,5,8
R071,Seating Arrangement,34,17,12
R072,Decoration,31,18,6
R073,Seating Arrangement,41,8,9
R074,Decoration,36,13,13
R075,Conference Room,40,5,9
R076,Conference Room,40,16,5
R077,AV Equipment,37,9,15
R078,Decoration,24,20,8
R079,Decoration,40,15,6
R080,Conference Room,34,10,13
R081,AV Equipment,27,14,6
R082,AV Equipment,23,5,9
R083,AV Equipment,35,14,10
R084,Seating Arrangement,24,16,9
R085,Conference Room,35,13,15
R086,Decoration,31,6,10
R087,Catering Service,28,7,13
R088,Decoration,36,12,9
R089,Conference Room,41,13,7
R090,Decoration,27,9,7
R091,Catering Service,42,17,15
R092,Decoration,30,7,5
R093,Decoration,32,17,9
R094,Catering Service,27,17,7
R095,Catering Service,24,19,15
R096,Seating Arrangement,36,11,7
R097,AV Equipment,49,19,14
R098,Catering Service,49,12,13
R099,Seating Arrangement,44,5,10
R100,Catering Service,28,11,6
R101,Catering Service,22,17,5
R102,Seating Arrangement,35,16,5
R103,Seating Arrangement,39,7,11
R104,Decoration,35,18,13
R105,Conference Room,28,7,13
R106,Seating Arrangement,27,17,15
R107,Seating Arrangement,30,8,6
R108,Decoration,50,14,9
R109,Catering Service,26,13,13
R110,Catering Service,44,12,8
R111,Seating Arrangement,26,19,15
R112,Catering Service,44,16,12
R113,AV Equipment,22,8,13
R114,Seating Arrangement,33,14,8
R115,Catering Service,34,15,6
R116,Seating Arrangement,37,9,7
R117,Conference Room,34,16,7
R118,AV Equipment,34,7,9
R119,Decoration,36,20,7
R120,Catering Service,37,15,7
R121,Seating Arrangement,29,12,15
R122,Seating Arrangement,46,19,12
R123,Seating Arrangement,29,10,15
R124,Seating Arrangement,24,10,6
R125,Seating Arrangement,47,15,14
R126,Seating Arrangement,36,13,6
R127,AV Equipment,34,11,8
R128,AV Equipment,49,5,9
R129,AV Equipment,24,19,12
R130,AV Equipment,45,20,15
R131,Decoration,37,18,11
R132,Decoration,20,19,12
R133,Conference Room,41,8,14
R134,Conference Room,24,10,5
R135,Decoration,24,19,9
R136,Decoration,34,15,10
R137,Decoration,34,15,9
R138,Catering Service,26,15,15
R139,Conference Room,36,19,9
R140,Decoration,40,13,12
R141,AV Equipment,34,16,14
R142,Catering Service,35,18,12
R143,AV Equipment,37,14,5
R144,Catering Service,46,15,13
R145,Catering Service,36,19,14
R146,Seating Arrangement,36,16,8
R147,Conference Room,39,7,14
R148,Decoration,37,6,15
R149,Conference Room,33,6,6
R150,Decoration,39,19,10
R151,Decoration,45,15,5
R152,Conference Room,47,11,5
R153,Decoration,25,16,9
R154,Seating Arrangement,37,14,14
R155,Catering Service,41,17,8
R156,Seating Arrangement,38,8,9
R157,Decoration,46,6,13
R158,Decoration,45,9,11
R159,Catering Service,33,15,15
R160,Catering Service,20,17,13
R161,AV Equipment,48,13,14
R162,Conference Room,30,5,7
R163,Conference Room,38,16,13
R164,Conference Room,28,18,11
R165,AV Equipment,45,13,11
R166,Decoration,30,20,10
R167,AV Equipment,47,15,7
R168,Catering Service,46,11,14
R169,Conference Room,44,12,10
R170,Catering Service,48,9,6
R171,Seating Arrangement,46,9,12
R172,Decoration,20,15,12
R173,Seating Arrangement,41,9,11
R174,Conference Room,36,14,15
R175,Decoration,21,6,14
R176,Conference Room,22,5,11
R177,Conference Room,28,12,10
R178,Seating Arrangement,40,17,11
R179,Seating Arrangement,38,18,5
R180,AV Equipment,40,12,10
R181,AV Equipment,30,14,11
R182,Conference Room,21,15,6
R183,AV Equipment,38,10,10
R184,Seating Arrangement,24,8,11
R185,Conference Room,38,5,10
R186,Catering Service,46,5,9
R187,Decoration,21,8,13
R188,Decoration,37,16,9
R189,Decoration,45,14,14
R190,Seating Arrangement,39,7,15
R191,Decoration,34,11,13
R192,Seating Arrangement,24,14,7
R193,AV Equipment,39,8,6
R194,Catering Service,47,18,12
R195,Conference Room,33,19,7
R196,Seating Arrangement,20,9,12
R197,Decoration,27,5,15
R198,AV Equipment,32,8,13
R199,Conference Room,30,6,8
R200,Decoration,31,13,7
R201,Seating Arrangement,42,6,10
R202,Seating Arrangement,20,17,14
R203,Seating Arrangement,21,18,15
R204,Conference Room,30,8,11
R205,AV Equipment,23,14,9
R206,Conference Room,36,19,11
R207,Seating Arrangement,32,8,10
R208,Decoration,43,15,6
R209,Conference Room,50,13,8
R210,Conference Room,20,15,10
R211,AV Equipment,42,20,15
R212,Decoration,27,13,6
R213,Catering Service,42,14,12
R214,Conference Room,48,6,9
R215,Conference Room,42,17,7
R216,Seating Arrangement,45,7,13
R217,Seating Arrangement,29,18,12
R218,Catering Service,28,11,14
R219,AV Equipment,21,15,15
R220,AV Equipment,32,6,7
R221,Decoration,23,11,15
R222,AV Equipment,25,7,15
R223,Catering Service,31,9,8
R224,Seating Arrangement,45,18,10
R225,Catering Service,40,7,9
R226,Seating Arrangement,24,10,7
R227,Conference Room,40,15,6
R228,Decoration,47,19,10
R229,Conference Room,43,16,6
R230,AV Equipment,37,15,12
R231,AV Equipment,22,14,7
R232,Catering Service,42,7,13
R233,Catering Service,31,19,6
R234,Catering Service,46,8,15
R235,Seating Arrangement,22,20,11
R236,AV Equipment,28,16,10
R237,Seating Arrangement,36,16,6
R238,Catering Service,26,8,10
R239,Conference Room,33,15,5
R240,Catering Service,30,16,10
R241,Decoration,46,20,14
R242,AV Equipment,21,10,12
R243,Conference Room,21,9,8
R244,AV Equipment,39,12,10
R245,Decoration,34,18,6
R246,Catering Service,20,5,14
R247,Decoration,40,6,15
R248,Conference Room,28,11,9
R249,Decoration,50,12,9
R250,Conference Room,45,13,10
R251,Seating Arrangement,45,9,7
R252,Seating Arrangement,39,19,13
R253,Catering Service,24,10,15
R254,Seating Arrangement,25,20,5
R255,AV Equipment,40,6,14
R256,Seating Arrangement,40,16,11
R257,Seating Arrangement,40,10,11
R258,Conference Room,35,15,11
R259,AV Equipment,26,17,14
R260,Seating Arrangement,48,20,9
R261,AV Equipment,48,14,11
R262,AV Equipment,40,11,12
R263,Seating Arrangement,43,17,6
R264,Catering Service,20,8,14
R265,Seating Arrangement,44,12,12
R266,Conference Room,49,7,10
R267,Conference Room,46,6,11
R268,Catering Service,39,9,14
R269,Seating Arrangement,45,13,6
R270,AV Equipment,47,15,15
R271,Decoration,39,7,10
R272,Conference Room,28,6,11
R273,Decoration,47,16,10
R274,Catering Service,45,19,5
R275,Conference Room,47,20,7
R276,Catering Service,38,5,11
