Machine ID,Machine Type,Operational Time,Maintenance Time,Cool Down Time
S001,Science,1,0,0
S002,English,1,0,0
S003,History,1,0,0
S004,Science,1,0,0
S005,History,1,0,0
S006,Math,1,0,0
S007,Math,1,0,0
S008,Art,1,0,0
S009,Math,1,0,0
S010,Math,1,0,0
S011,Math,1,0,0
S012,History,1,0,0
S013,English,1,0,0
S014,Math,1,0,0
S015,English,1,0,0
S016,Art,1,0,0
S017,English,1,0,0
S018,Art,1,0,0
S019,English,1,0,0
S020,Math,1,0,0
S021,Math,1,0,0
S022,Math,1,0,0
S023,Science,1,0,0
S024,English,1,0,0
S025,Art,1,0,0
S026,History,1,0,0
S027,Math,1,0,0
S028,Art,1,0,0
S029,History,1,0,0
S030,Science,1,0,0
S031,Science,1,0,0
S032,History,1,0,0
S033,Art,1,0,0
S034,Math,1,0,0
S035,Science,1,0,0
S036,English,1,0,0
S037,Art,1,0,0
S038,Math,1,0,0
S039,English,1,0,0
S040,Art,1,0,0
S041,Art,1,0,0
S042,Math,1,0,0
S043,History,1,0,0
S044,Math,1,0,0
S045,Art,1,0,0
S046,Math,1,0,0
S047,History,1,0,0
S048,History,1,0,0
S049,Science,1,0,0
S050,Art,1,0,0
S051,Science,1,0,0
S052,History,1,0,0
S053,Science,1,0,0
S054,Science,1,0,0
S055,Math,1,0,0
S056,Art,1,0,0
S057,History,1,0,0
S058,Math,1,0,0
S059,History,1,0,0
S060,English,1,0,0
S061,Math,1,0,0
S062,Math,1,0,0
S063,Art,1,0,0
S064,Art,1,0,0
S065,Art,1,0,0
S066,Art,1,0,0
S067,Science,1,0,0
S068,Math,1,0,0
S069,English,1,0,0
S070,Math,1,0,0
S071,History,1,0,0
S072,Art,1,0,0
S073,Math,1,0,0
S074,History,1,0,0
S075,Science,1,0,0
S076,English,1,0,0
S077,English,1,0,0
S078,Math,1,0,0
S079,Science,1,0,0
S080,History,1,0,0
S081,Science,1,0,0
S082,English,1,0,0
S083,Math,1,0,0
S084,Science,1,0,0
S085,Math,1,0,0
S086,English,1,0,0
S087,Art,1,0,0
S088,Math,1,0,0
S089,English,1,0,0
S090,Math,1,0,0
S091,Math,1,0,0
S092,Science,1,0,0
S093,Math,1,0,0
S094,English,1,0,0
S095,Science,1,0,0
S096,Math,1,0,0
S097,Science,1,0,0
S098,English,1,0,0
S099,Math,1,0,0
S100,History,1,0,0
S101,Art,1,0,0
S102,Art,1,0,0
S103,Math,1,0,0
S104,Science,1,0,0
S105,English,1,0,0
S106,History,1,0,0
S107,English,1,0,0
S108,English,1,0,0
S109,Science,1,0,0
S110,Art,1,0,0
S111,Science,1,0,0
S112,Science,1,0,0
S113,Science,1,0,0
S114,English,1,0,0
S115,Science,1,0,0
S116,English,1,0,0
S117,History,1,0,0
S118,Science,1,0,0
S119,English,1,0,0
S120,English,1,0,0
S121,Art,1,0,0
S122,Science,1,0,0
S123,Science,1,0,0
S124,Math,1,0,0
S125,History,1,0,0
S126,English,1,0,0
S127,Science,1,0,0
S128,Science,1,0,0
S129,Science,1,0,0
S130,Art,1,0,0
S131,History,1,0,0
S132,Art,1,0,0
S133,Art,1,0,0
S134,History,1,0,0
S135,Art,1,0,0
S136,Science,1,0,0
S137,Science,1,0,0
S138,Science,1,0,0
S139,Math,1,0,0
S140,Math,1,0,0
S141,Art,1,0,0
S142,Science,1,0,0
S143,Math,1,0,0
S144,Science,1,0,0
S145,Science,1,0,0
S146,Math,1,0,0
S147,English,1,0,0
S148,History,1,0,0
S149,History,1,0,0
S150,History,1,0,0
S151,Science,1,0,0
S152,Art,1,0,0
S153,Science,1,0,0
S154,Math,1,0,0
S155,Art,1,0,0
S156,Art,1,0,0
S157,Art,1,0,0
S158,Math,1,0,0
S159,History,1,0,0
S160,English,1,0,0
S161,History,1,0,0
S162,Science,1,0,0
S163,Math,1,0,0
S164,History,1,0,0
S165,History,1,0,0
S166,Math,1,0,0
S167,English,1,0,0
S168,Math,1,0,0
S169,History,1,0,0
S170,English,1,0,0
S171,History,1,0,0
S172,English,1,0,0
S173,Math,1,0,0
S174,Art,1,0,0
S175,English,1,0,0
S176,Math,1,0,0
S177,Art,1,0,0
S178,Math,1,0,0
S179,History,1,0,0
S180,Math,1,0,0
S181,English,1,0,0
S182,Science,1,0,0
S183,English,1,0,0
S184,Art,1,0,0
S185,English,1,0,0
S186,Math,1,0,0
S187,Math,1,0,0
S188,Art,1,0,0
S189,English,1,0,0
S190,Science,1,0,0
S191,English,1,0,0
S192,History,1,0,0
S193,Science,1,0,0
S194,English,1,0,0
S195,English,1,0,0
S196,History,1,0,0
S197,Art,1,0,0
S198,Art,1,0,0
S199,Math,1,0,0
S200,English,1,0,0
S201,History,1,0,0
S202,History,1,0,0
S203,Art,1,0,0
S204,Science,1,0,0
S205,Art,1,0,0
S206,Math,1,0,0
S207,English,1,0,0
S208,Math,1,0,0
S209,Art,1,0,0
S210,Math,1,0,0
S211,History,1,0,0
S212,History,1,0,0
S213,Art,1,0,0
S214,Math,1,0,0
S215,English,1,0,0
S216,English,1,0,0
S217,Math,1,0,0
S218,Math,1,0,0
S219,Math,1,0,0
S220,Math,1,0,0
S221,Art,1,0,0
S222,History,1,0,0
S223,Art,1,0,0
S224,Math,1,0,0
S225,English,1,0,0
S226,History,1,0,0
S227,English,1,0,0
S228,Art,1,0,0
S229,Math,1,0,0
S230,Science,1,0,0
S231,Math,1,0,0
S232,History,1,0,0
S233,Math,1,0,0
S234,English,1,0,0
S235,Math,1,0,0
S236,English,1,0,0
S237,Math,1,0,0
S238,Science,1,0,0
S239,Art,1,0,0
S240,English,1,0,0
S241,Science,1,0,0
S242,English,1,0,0
S243,Science,1,0,0
S244,History,1,0,0
S245,Art,1,0,0
S246,Science,1,0,0
S247,Science,1,0,0
S248,Science,1,0,0
S249,History,1,0,0
S250,Art,1,0,0
S251,History,1,0,0
S252,History,1,0,0
S253,Math,1,0,0
S254,History,1,0,0
S255,History,1,0,0
S256,History,1,0,0
S257,English,1,0,0
S258,English,1,0,0
S259,English,1,0,0
S260,Math,1,0,0
S261,History,1,0,0
S262,History,1,0,0
S263,Art,1,0,0
S264,Science,1,0,0
S265,History,1,0,0
S266,Art,1,0,0
S267,English,1,0,0
S268,Science,1,0,0
S269,History,1,0,0
S270,English,1,0,0
S271,Math,1,0,0
S272,History,1,0,0
S273,Science,1,0,0
S274,Art,1,0,0
S275,Science,1,0,0
S276,Science,1,0,0
S277,English,1,0,0
S278,Math,1,0,0
S279,Science,1,0,0
S280,Math,1,0,0
S281,Math,1,0,0
S282,Art,1,0,0
S283,English,1,0,0
S284,Science,1,0,0
S285,Science,1,0,0
S286,History,1,0,0
S287,Math,1,0,0
S288,Math,1,0,0
S289,English,1,0,0
S290,Science,1,0,0
S291,English,1,0,0
S292,Art,1,0,0
S293,Science,1,0,0
S294,Art,1,0,0
S295,Art,1,0,0
S296,History,1,0,0
S297,History,1,0,0
S298,Math,1,0,0
S299,Art,1,0,0
S300,Science,1,0,0
