Machine ID,Machine Type,Operational Time,Maintenance Time,Cool Down Time
M001,Lathe,30,2,1
M002,Lathe,12,5,16
M003,Lathe,24,14,16
M004,Lathe,20,6,16
M005,Lathe,18,12,11
M006,Lathe,16,12,15
M007,Lathe,16,9,10
M008,Lathe,40,17,10
M009,Lathe,30,7,16
M010,Lathe,17,13,22
M011,Grinding,30,1,1
M012,Grinding,30,2,1
M013,Grinding,24,14,16
M014,Grinding,20,6,16
M015,Grinding,18,12,11
M016,Grinding,16,12,15
M017,Grinding,16,9,10
M018,Grinding,40,17,10
M019,Grinding,30,7,16
M020,Grinding,17,13,22
M021,Milling,30,1,1
M022,Milling,12,5,16
M023,Milling,24,14,16
M024,Milling,20,6,16
M025,Milling,18,12,11
M026,Milling,16,12,15
M027,Milling,16,9,10
M028,Milling,40,17,10
M029,Milling,30,7,16
M030,Milling,17,13,22
M031,Shaping,30,1,1
M032,Shaping,12,5,16
M033,Shaping,24,14,16
M034,Shaping,20,6,16
M035,Shaping,18,12,11
M036,Shaping,16,12,15
M037,Shaping,16,9,10
M038,Shaping,40,17,10
M039,Shaping,30,7,16
M040,Shaping,17,13,22
M041,Drilling,30,1,1
M042,Drilling,12,5,16
M043,Drilling,24,14,16
M044,Drilling,20,6,16
M045,Drilling,18,12,11
M046,Drilling,16,12,15
M047,Drilling,16,9,10
M048,Drilling,40,17,10
M049,Drilling,30,7,16
M050,Drilling,17,13,22
MXX,Machine Type,50,50,50
